COD_TOPONIMO;DESCRIZIONE
450;MARZARIA
451;MASSERIA VECCHIA
452;MERCERIA
453;MOLO ANTICO
454;MURAZZI
455;MURE
456;PARALLELA DESTRA
457;PARALLELA SINISTRA
458;PASSEGGIO
459;PENDICE
460;PENDIO
461;PENNINATO
462;PIAGGIA
463;PIANO
464;PIATTAFORMA
465;PIAZZA BELVEDERE
466;PIAZZA CHIUSA
467;PIAZZA COMUNALE
468;PIAZZA INFERIORE
469;PIAZZOLA
470;PLACE
471;POGGIO
472;PORTELLA
473;PORTICATO
474;PORTICCIOLO
475;PORTICHETTI
476;PORTICI
477;PRATO
478;PROLUNGAMENTO DI CORSO
479;PROLUNGAMENTO DEL VIALE
480;PROLUNGAMENTO DELLA VIA
481;PROVINCIALE
482;QUADRATO
483;RAMPA DEL CORSO
484;RAMPA DEL VIALE
485;RAMPA PIAZZA
486;RAMPA VIA
487;RAMPA DESTRA
488;RAMPA SINISTRA
489;RAMPA STRADA
490;RIALTO
491;RIGASTE
492;RIO
493;RIO TERRA'
494;RIPARTO
495;RIVETTA
496;RONCO
497;RONDO
498;ROUTE
499;RUE
500;RUGA
501;RUGA DESTRA
502;RUGA SINISTRA
503;RUGHETTA
504;RUGHETTA DESTRA
505;RUGHETTA SINISTRA
506;SALITA DESTRA
507;SALITA PER CORSO
508;SALITA PER PIAZZA
509;SALITA PER VIA
510;SALITA PER VIALE
511;SALITA SINISTRA
512;SALITA SUPERIORE
513;SALIZZATA DESTRA
514;SALIZADA SINISTRA
515;SBARCATOIO
516;SCALA DESTRA
517;SCALA SINISTRA
518;SCALEO
519;SCALETTA DESTRA
520;SCALETTA SINISTRA
521;SCALINATA DESTRA
522;SCALINATA SINISTRA
523;SCALO
524;SCESA
525;SCESE
526;SELCIATO
527;SENTIERO PANORAMICO
528;SESTIERE
529;SOTTOPASSAGGI
530;SOTTOPASSAGGIO
531;SOTTOPASSO
532;SPALTO
533;SPIAGGIA
534;SPIAZZO
535;STATALE
536;STAZZO
537;STRADA ACCORCIATOIA
538;STRADA ALTA
