CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;85802;P;662510;F;1 ;;;1;2;C;196083;01010001;I;  0000;000;2000;01011992;0000342;;;;;;;220;;594947;
M113;;85802;P;662506;F;1 ;;;1;2;C;196083;01010001;I;  0000;000;2000;01011992;0000342;;;;;;;220;;594937;
M113;;85802;P;662519;F;1 ;;;1;2;C;196083;01010001;I;  0000;000;2000;01011992;0000342;;;;;;;220;;594942;
M113;;86204;P;661359;F;1 ;;;0;0; ;0;21091990;D;000002;002;1997;03011997;1000730;;;;;;;359981;;1661754;
M113;;86238;P;663002;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000532;;;;;;;220;;596415;
M113;;86238;P;663000;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000532;;;;;;;220;;596414;
M113;;86238;P;662999;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000532;;;;;;;220;;596421;
M113;;86238;P;663001;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000532;;;;;;;220;;596417;
M113;;86238;P;663003;F;1 ;;;0;0; ;0;24012001;A;000131;001;2001;25012001;0000532;;;;;;;555788;;3253222;
M113;;86280;P;661177;F;1 ;;;0;0; ;0;31121992;A;003470;001;1992;21011993;0000704;;;;;;;23260;;651928;
M113;;86280;P;661176;F;1 ;;;0;0; ;0;31121992;A;003470;001;1992;21011993;0000704;;;;;;;23260;;651927;
M113;;86282;P;661175;F;1 ;;;0;0; ;0;29031979;D;001968;002;1980;24061996;1000702;;;;;;;332975;;1533064;
M113;;86291;P;661478;F;1 ;;;0;0; ;0;04121990;V;003238;000;1990;11011993;1000013;;;;;;;21623;;648083;
M113;;86291;P;661481;F;1 ;;;0;0; ;0;03021994;V;000274;001;1994;27041995;1000013;;;;;;;234680;;1230119;
M113;;87673;P;662317;F;1 ;;;1000;1000; ;0;16061986;V;001498;001;1986;06031996;0000228;;;;;;;313876;;1444068;
M113;;87673;P;662318;F;1 ;;;1000;1000; ;0;06031996;V;000507;001;1996;06031996;0000228;;;;;;;313913;;1444137;
M113;;88616;P;662498;F;2 ;;;1;2; ;0;01010001;I;  0000;000;2000;01011992;0000306;;;;;;;220;;594979;
M113;;88616;P;662500;F;2 ;;;1;2; ;0;01010001;I;  0000;000;2000;01011992;0000306;;;;;;;220;;594974;
M113;;88616;P;662499;F;2 ;;;1;2; ;0;01010001;I;  0000;000;2000;01011992;0000306;;;;;;;220;;594967;
M113;;88625;P;661497;F;1 ;;;0;0; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230928;
M113;;88625;P;663839;F;1 ;;;0;0; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230927;
M113;;88625;P;663841;F;1 ;;;0;0; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230924;
M113;;88625;P;663840;F;1 ;;;0;0; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230922;
M113;;88625;P;661496;F;1 ;;;0;0; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230930;
M113;;92178;P;661346;F;2 ;;;1;5; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241578;
M113;;92181;P;661346;F;2 ;;;1;5; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241584;
M113;;92186;P;661346;F;2 ;;;1;10; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241583;
M113;;92198;P;661346;F;2 ;;;1;10; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241582;
M113;;92202;P;661346;F;2 ;;;1;5; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241581;
M113;;92738;P;661944;F;1 ;;;0;0; ;0;07011975;D;000882;001;1979;15051995;1000290;;;;;;;237667;;1236415;
M113;;94518;P;662482;F;73 ;;;0;0; ;0;08051997;D;000994;001;1998;21041998;1000844;;;;;;;431965;;2211305;
M113;;103241;P;859612;F;2 ;;;11;15; ;;31032007;A;009609;001;2007;31032007;;;;;;;;917743;;4275244;
M113;;103241;P;663853;F;31 ;;;4;15;C;557825;25072013;D;003467;001;2013;13082013;;;;;;;;1204223;;5057285;
M113;;103241;P;663853;F;31 ;;;7;15; ;;25072013;D;003467;001;2013;13082013;;;;;;;;1204223;;5057284;
M113;;103241;P;663852;F;31 ;;;7;15; ;;25072013;D;003467;001;2013;13082013;;;;;;;;1204223;;5057280;
M113;;103241;P;663852;F;31 ;;;4;15;C;557825;25072013;D;003467;001;2013;13082013;;;;;;;;1204223;;5057281;
M113;;103242;P;662083;F;2 ;;;1;2; ;;10012013;D;000112;001;2013;10012013;;;;;;;;1175575;;4985660;
M113;;103242;P;662084;F;2 ;;;1;2; ;;10012013;D;000113;001;2013;10012013;;;;;;;;1175576;;4985662;
M113;;103263;P;661496;F;31 ;;;1;3; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230931;
