E227; ;354468;F;6;1; ;A03;03;8;194;720000;371,85;;;;;;T;0001;;;17121993;25052016;V;051395;001;2016;;;;;;;;;4545524;;;24112016;VAR;G.A.F. CODIFICA PIANO INCOERENTE;;;4;
E227; ;354468;F;6;2;;0024;00121;;0002;;;0024;01003;;0002;;;0024;01003;;0003;;
E227; ;354468;F;6;3;236;OSANNA;;;;107;
E227; ;354469;F;2;1; ;A04;03;5;112;385000;198,84;;;;;;T;;;;07011986;09031999;V;000413;001;1986;;;;;;;0001017;;1627107;;;24112016;AMP;;;;4;
E227; ;354469;F;2;2;;0024;00122;;;;
E227; ;354469;F;2;3;236;MAGENTA;000001;;;88;
E227; ;354470;F;3;1; ;C02;03;93;107;279000;144,09;;;;;;T;;;;28051985;12082011;V;053177;001;2011;;;;;;;;;3537855;;;24112016;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;;
E227; ;354470;F;3;2;;0024;00133;;0001;;;0024;00133;;0002;;
E227; ;354470;F;3;3;236;V. BELLINI;;;;447;
E227; ;354475;F;3;1; ;C01;03;336;383;8097600;4182,06;;;;;;T;;;;22101996;27022018;V;019451;001;2018;;;;;;;;CORREZIONE SU DATI METRICI DEL PROTOCOLLO DI PRESENTAZIONE PLANIMETRICA N.2693/1996;4916495;;;24112016;VAR;AGGIORNAMENTO PLANIMETRICO;;;;
E227; ;354475;F;3;2;;0024;00137;;0006;;
E227; ;354475;F;3;3;236;DUCA D` AOSTA;000067;;;57;
E227; ;354476;F;2;1; ;C06;03;24;24;72000;37,18;;;;;;T;;;;22101996;15091998;V;002693;002;1996;;;;;;;1001343;;1586029;;;24112016;VAR;REVISIONE SI CONFERMANO I DATI DI CLASSAMENTO PROPOSTI ART.14 COMMA 13 LEGGE 449/97;;;;
E227; ;354476;F;2;2;;0024;00137;;0007;;
E227; ;354476;F;2;3;236;DUCA D` AOSTA;000067;;;57;
E227; ;354477;F;4;1; ;C06;03;321;377;963000;497,35;;;;;;S1;;;;12102017;12102017;V;080938;001;2017;;;;;;;;;4834254;;;24112016;VCL;VARIAZIONE DI CLASSAMENTO;;;5;
E227; ;354477;F;4;2;;0024;00137;;0008;;
E227; ;354477;F;4;3;236;MAGENTA;000023;;;88;
E227; ;354482;F;4;1; ;A04;03;5;107;385000;198,84;;;;;;T;;;;10011995;27091997;V;000148;002;1995;;;;;;;1001484;;1542623;;;24112016;CLS;;;;;
E227; ;354482;F;4;2;;0024;00168;;;;
E227; ;354482;F;4;3;236;SAN SILVESTRO;000061;;;136;
E227; ;354483;F;1;1; ;A04;03;2;53;154000;79,53;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000383;;1079834;;;24112016;;;;;;
E227; ;354483;F;1;2;;0024;00170;;;;
E227; ;354483;F;1;3;236;SAN SILVESTRO;000035;;;136;
E227; ;354484;F;5;1; ;A04;02;4;111;264000;136,34;;;;;;T;;;;15021993;21062016;V;072193;001;2016;;;;;;;;CORREZIONE SU DATI IDENTIFICATIVI E METRICI DEL PROTOCOLLO DI PRESENTAZIONE PLANIMETRICA N.1755/1993;4572299;;;24112016;VAR;AGGIORNAMENTO PLANIMETRICO;;;4;
E227; ;354484;F;5;2;;0024;00172;;;;
E227; ;354484;F;5;3;236;SAN SILVESTRO;000058;;;136;
E227; ;354485;F;1;1; ;A04;02;3,5;79;231000;119,3;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000043;;1079834;;;24112016;;;;;;
E227; ;354485;F;1;2;;0024;00173;;;;
E227; ;354485;F;1;3;236;SAN SILVESTRO;000040;;;136;
E227; ;354486;F;1;1; ;A04;01;4;71;224000;115,69;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0001010;;1079834;;;24112016;;;;;;
E227; ;354486;F;1;2;;0024;00175;;;;
E227; ;354486;F;1;3;236;DE GIOSA;000065;;;46;
E227; ;354487;F;1;1; ;A04;02;3;71;198000;102,26;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000215;;1079834;;;24112016;;;;;;
E227; ;354487;F;1;2;;0024;00176;;;;
E227; ;354487;F;1;3;236;DE GIOSA;000063;;;46;
E227; ;354493;F;4;1; ;A04;03;4;113;308000;159,07;;;;;;T;;;;01091998;01091998;V;015325;001;1998;;;;;;;1000861;;1582982;;;24112016;AMP;;;;2;
E227; ;354493;F;4;2;;0024;00180;;;;
E227; ;354493;F;4;3;236;DE GIOSA;000073;;;46;
E227; ;354495;F;1;1; ;A04;03;5;105;385000;198,84;;;;;;T;;;;26071991;01071992;V;004733;001;1991;;;;;;;0001726;;1260306;;;24112016;VAR;FUS-FRZ;;;;
E227; ;354495;F;1;2;;0024;00181;;0001;;
E227; ;354495;F;1;3;236;DE GIOSA;;;;46;
