CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;Rendita-lire;Rendita-euro;ValoreImis;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;Piano5;Piano6;Piano7;Piano8;Piano9;Piano10;Piano11;Piano12;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione_ita;Annotazione_ted;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica
L322;;627469;F;2;1;;C06;1;16;18;44800;23,14;3887,52;;;;;;T;;;;;;;;;;;;1011985;19051994;V;2615;A01;1985;;;;;;;1000130;142908;;0;;
L322;;627470;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627471;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627472;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627473;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627474;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16122014;7012015;V;5187;1;2014;;;;;;;C;1259832;;;;
L322;;627475;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627476;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16122014;7012015;V;5187;1;2014;;;;;;;C;1259832;;;;
L322;;627477;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627478;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627479;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627480;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627481;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16122014;7012015;V;5187;1;2014;;;;;;;C;1259832;;;;
L322;;627482;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627483;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16122014;7012015;V;5187;1;2014;;;;;;;C;1259832;;;;
L322;;627484;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16112015;23112015;V;4291;1;2015;;;;;;;C;1296907;;;;
L322;;627485;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16122014;7012015;V;5187;1;2014;;;;;;;C;1259832;;;;
L322;;627486;F;4;1;;C04;1;67;77;147400;76,13;11191,11;;;;;;T;;;;;;;;;;;;16011980;30112000;V;78;1;1980;;;;;;;1000176;550549;;200003626;;
L322;;627487;F;1;1;;C06;2;20;22;66000;34,09;5727,12;;;;;;S1;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;88;201;;0;;
L322;;627488;F;2;1;;A07;1;11,5;232;2012500;1039,37;174614,16;;;;;;S1;T;1;;;;;;;;;;9052012;10052012;V;3762;1;2012;;;;;;;;1144877;;201200780;;
L322;;627489;F;1;1;;C06;2;65;72;214500;110,78;18611,04;;;;;;T;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;81;201;;0;;
L322;;627490;F;1;1;;A08;1;12;303;3180000;1642,33;275911,44;;;;;;T;2;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;81;201;;0;;
L322;;627491;F;1;1;;A08;1;7,5;198;1987500;1026,46;172445,28;;;;;;1;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;81;201;;0;;
L322;;627492;F;3;1;;C06;2;36;40;118800;61,36;10308,48;;;;;;S1;;;;;;;;;;;;6092000;22022001;D;470;1;2001;;;;;;;1000637;559136;;;;
L322;;627493;F;3;1;;A07;2;11,5;234;2357500;1217,55;204548,4;;;;;;S1;T;1;;;;;;;;;;6092000;22022001;D;470;1;2001;;;;;;;1000637;559136;;;;
L322;;627494;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;474;1;1998;;;;;;;C;424253;;;;
L322;;627495;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;474;1;1998;;;;;;;C;424253;;;;
L322;;627496;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;474;1;1998;;;;;;;C;424253;;;;
L322;;627497;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;474;1;1998;;;;;;;C;424253;;;;
L322;;627498;F;2;1;;D02;;;;2594602;1340;91455;;;;;;S1;T;1;2;;;;;;;;;12111985;17092002;V;2827;2;1985;;;;;;;;613662;;200202451;;
L322;;627499;F;1;1;;C06;1;29;32;81200;41,94;7045,92;;;;;;T;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;89;201;;0;;
L322;;627500;F;3;1;;A07;1;7,5;201;1312500;677,85;113878,8;;;;;;T;1;2;;;;;;;;;;31121991;30112000;V;4179.01.00;0;1991;;;;;;;89;550550;;200003627;;
L322;;627501;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;24112011;24112011;V;4557;1;2011;;;;;;;C;1108833;;;;
L322;;627502;F;3;1;;A03;2;6,5;80;468000;241,7;40605,6;;;;;;1;2;;;;;;;;;;;29011995;31101995;D;2259;3;1995;;;;;;;1000300;284771;;0;;
L322;;627503;F;3;1;;A03;2;4;47;288000;148,74;24988,32;;;;;;S1;;;;;;;;;;;;29011995;31101995;D;2259;3;1995;;;;;;;1000300;284771;;0;;
L322;;627504;F;3;1;;A07;1;8;239;1400000;723,04;121470,72;;;;;;S1;T;1;2;;;;;;;;;14081992;12101994;D;3231;1;1992;;;;;;;1000184;180571;;0;;
L322;;627505;F;3;1;;C06;1;63;70;176400;91,1;15304,8;;;;;;T;;;;;;;;;;;;14081992;12101994;D;3231;1;1992;;;;;;;1000184;180571;;0;;
L322;;627506;F;2;1;;A07;1;8;155;1400000;723,04;121470,72;;;;;;T;;;;;;;;;;;;31121976;23011996;V;2040;1;1976;;;;;;;98;305229;;0;;
L322;;627507;F;2;1;;A07;1;6;126;1050000;542,28;91103,04;;;;;;S1;T;1;;;;;;;;;;31121976;23011996;V;2041;1;1976;;;;;;;99;305239;;0;;
L322;;627508;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;26112015;9122015;V;4528;1;2015;;;;;;;C;1298935;;;;
L322;;627509;F;2;1;;C02;1;94;113;263200;135,93;22836,24;;;;;;T;;;;;;;;;;;;14121976;30112000;V;1840;1;1976;;;;;;;96;550551;;200003628;;
L322;;627510;F;2;1;;A02;3;6;119;630000;325,37;54662,16;;;;;;T;1;;;;;;;;;;;14121976;30112000;V;1841;1;1976;;;;;;;96;550552;;200003628;;
L322;;627511;F;2;1;;C06;1;65;72;182000;94;15792;;;;;;T;;;;;;;;;;;;21011977;30112000;V;211;1;1977;;;;;;;102;550561;;200003629;;
L322;;627512;F;2;1;;A07;2;6,5;172;1332500;688,18;115614,24;;;;;;T;1;;;;;;;;;;;21011977;30112000;V;212;1;1977;;;;;;;102;550562;;200003629;;
L322;;627513;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;8011977;23092002;V;3;1;1977;;;;;;;C;614276;;;;
L322;;627514;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;475;1;1998;;;;;;;C;424254;;;;
L322;;627515;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4031998;4031998;V;475;1;1998;;;;;;;C;424254;;;;
L322;;627516;F;2;1;;A03;1;4,5;82;274500;141,77;23817,36;;;;;;T;1;;;;;;;;;;;1011985;19051994;V;3099;A01;1985;;;;;;;1000138;142914;;0;;
L322;;627517;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;26102012;16112012;V;6730;1;2012;;;;;;;C;1168908;;;;
L322;;627518;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;26102012;16112012;V;6730;1;2012;;;;;;;C;1168908;;;;
L322;;627519;F;2;1;;C06;2;29;32;95700;49,42;8302,56;;;;;;S1;;;;;;;;;;;;17041978;11042000;V;957;1;1978;;;;;;;104;524259;;200001107;;
L322;;627520;F;2;1;;A07;1;10;244;1750000;903,8;151838,4;;;;;;S1;T;;;;;;;;;;;17041978;11042000;V;958;1;1978;;;;;;;104;524261;;200001107;;
L322;;627521;F;2;1;;A07;1;10;247;1750000;903,8;151838,4;;;;;;S1;T;;;;;;;;;;;16091986;1031995;D;2827;1;1986;;;;;;;1000227;219478;;0;;
L322;;627522;F;2;1;;C06;1;42;47;117600;60,74;10204,32;;;;;;S1;;;;;;;;;;;;16091986;1031995;D;2827;1;1986;;;;;;;1000227;219478;;0;;
L322;;627523;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4112008;5112008;V;4014;1;2008;;;;;;;C;987059;;;;
L322;;627524;F;3;1;;A07;1;7,5;152;1312500;677,85;113878,8;;;;;;T;1;3;;;;;;;;;;10052013;1072013;V;2757;1;2013;;;;;;;;1198713;;201301137;;
L322;;627525;F;2;1;;A07;1;7;152;1225000;632,66;106286,88;;;;;;T;2;3;;;;;;;;;;13061980;30112000;V;1219;1;1980;;;;;;;112;550567;;200003631;;
L322;;627526;F;2;1;;C06;1;30;33;84000;43,38;7287,84;;;;;;T;;;;;;;;;;;;13061980;30112000;V;1220;1;1980;;;;;;;112;550568;;200003631;;
L322;;627527;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;27052009;3062009;V;1876;1;2009;;;;;;;C;1009547;;;;
L322;;627528;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;27052009;3062009;V;1876;1;2009;;;;;;;C;1009547;;;;
L322;;627529;F;2;1;;C06;1;29;32;81200;41,94;7045,92;;;;;;S1;;;;;;;;;;;;28011985;1031995;D;657;1;1985;;;;;;;1000228;219479;;0;;
L322;;627530;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;11092008;16092008;V;3280;1;2008;;;;;;;C;981138;;;;
L322;;627531;F;2;1;;C06;1;42;46;117600;60,74;10204,32;;;;;;T;;;;;;;;;;;;3062002;3062002;V;1596;1;2002;;;;;;;;604106;;200202081;;
L322;;627532;F;3;1;;A02;4;7,5;150;937500;484,18;81342,24;;;;;;T;1;;;;;;;;;;;17062002;17062002;V;1696;1;2002;;;;;;;;605361;;0;;
L322;;627533;F;3;1;;A02;4;9;181;1125000;581,01;97609,68;;;;;;T;2;3;;;;;;;;;;17062002;17062002;V;1697;1;2002;;;;;;;;605362;;0;;
L322;;627534;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;13032009;19032009;V;1015;1;2009;;;;;;;C;1002381;;;;
L322;;627535;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;13032009;19032009;V;1015;1;2009;;;;;;;C;1002381;;;;
L322;;627536;F;2;1;;A02;3;6,5;113;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;16081983;30112000;V;1831;1;1983;;;;;;;119;550575;;200003634;;
L322;;627537;F;2;1;;A02;3;6,5;128;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;16081983;30112000;V;1832;1;1993;;;;;;;119;550577;;200003634;;
L322;;627538;F;2;1;;A02;3;6,5;112;682500;352,48;59216,64;;;;;;S1;2;;;;;;;;;;;16081983;30112000;V;1833;1;1983;;;;;;;119;550579;;200003634;;
L322;;627539;F;2;1;;A02;3;6,5;128;682500;352,48;59216,64;;;;;;S1;2;;;;;;;;;;;16081983;30112000;V;1834;1;1983;;;;;;;119;550580;;200003634;;
L322;;627540;F;2;1;;A02;3;6,5;113;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;16081983;30112000;V;1835;1;1983;;;;;;;119;550582;;200003634;;
L322;;627541;F;2;1;;A02;3;6,5;128;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;16081983;30112000;V;1836;1;1983;;;;;;;119;550583;;200003634;;
L322;;627542;F;2;1;;A02;3;6,5;113;682500;352,48;59216,64;;;;;;S1;2;;;;;;;;;;;16081983;30112000;V;1837;1;1983;;;;;;;119;550586;;200003634;;
L322;;627543;F;2;1;;A02;3;6,5;127;682500;352,48;59216,64;;;;;;S1;2;;;;;;;;;;;16081983;30112000;V;1838;1;1983;;;;;;;119;550587;;200003634;;
L322;;627544;F;2;1;;C06;1;73;81;204400;105,56;17734,08;;;;;;T;;;;;;;;;;;;21101988;26071995;V;3615;1;1988;;;;;;;11;254274;;0;;
L322;;627545;F;2;1;;C06;1;109;121;305200;157,62;26480,16;;;;;;T;;;;;;;;;;;;1011988;19051994;V;3615;A01;1988;;;;;;;11;143012;;0;;
L322;;627546;F;2;1;;C06;1;17;19;47600;24,58;4129,44;;;;;;T;;;;;;;;;;;;1011988;19051994;V;3615;A01;1988;;;;;;;1000243;143012;;0;;
L322;;627547;F;2;1;;C06;1;30;33;84000;43,38;7287,84;;;;;;T;;;;;;;;;;;;1011985;19051994;V;2631;A01;1985;;;;;;;1000139;142909;;0;;
L322;;627548;F;2;1;;A02;3;11;227;1155000;596,51;100213,68;;;;;;1;2;;;;;;;;;;;1011985;19051994;V;2631;A01;1985;;;;;;;1000139;142909;;0;;
L322;;627549;F;2;1;;C06;1;30;33;84000;43,38;7287,84;;;;;;T;;;;;;;;;;;;1011985;19051994;V;2632;A01;1985;;;;;;;1000140;142910;;0;;
L322;;627550;F;2;1;;A02;3;9,5;210;997500;515,17;86548,56;;;;;;1;2;;;;;;;;;;;1011985;19051994;V;2632;A01;1985;;;;;;;1000140;142910;;0;;
L322;;627551;F;4;1;;C06;1;27;30;75600;39,04;6558,72;;;;;;T;;;;;;;;;;;;18092002;21042016;D;1667;1;2016;;;;;;;0;1315429;;200202455;;
L322;;627552;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;25092015;28092015;V;3478;1;2015;;;;;;;C;1290243;;;;
L322;;627553;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;25092015;28092015;V;3478;1;2015;;;;;;;C;1290243;;;;
L322;;627554;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;25092015;28092015;V;3478;1;2015;;;;;;;C;1290243;;;;
L322;;627555;F;1;1;;A03;3;6;102;504000;260,29;43728,72;;;;;;S1;T;;;;;;;;;;;5062000;5062000;A;A00027;1;2000;;;;;;;1000603;531090;;200001547;;
L322;;627556;F;2;1;;A02;3;7;116;735000;379,6;63772,8;;;;;;S1;T;;;;;;;;;;;12041984;30112000;V;1058;1;1984;;;;;;;119;550588;;200003634;;
L322;;627557;F;2;1;;A02;3;7;116;735000;379,6;63772,8;;;;;;S1;T;;;;;;;;;;;12041984;30112000;V;1059;1;1984;;;;;;;119;550590;;200003634;;
L322;;627558;F;2;1;;A02;3;7;118;735000;379,6;63772,8;;;;;;S1;1;;;;;;;;;;;12041984;30112000;V;1060;1;1984;;;;;;;119;550591;;200003634;;
L322;;627559;F;2;1;;A02;3;7;117;735000;379,6;63772,8;;;;;;S1;1;;;;;;;;;;;12041984;30112000;V;1061;1;1984;;;;;;;119;550592;;200003634;;
L322;;627560;F;2;1;;A02;3;6,5;104;682500;352,48;59216,64;;;;;;S1;T;;;;;;;;;;;12041984;30112000;V;1062;1;1984;;;;;;;119;550593;;200003634;;
L322;;627561;F;2;1;;A02;3;6,5;107;682500;352,48;59216,64;;;;;;S1;T;;;;;;;;;;;12041984;30112000;V;1063;1;1984;;;;;;;119;550594;;200003634;;
L322;;627562;F;2;1;;A02;3;6,5;105;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;12041984;30112000;V;1064;1;1984;;;;;;;119;550595;;200003634;;
L322;;627563;F;2;1;;A02;3;6,5;105;682500;352,48;59216,64;;;;;;S1;1;;;;;;;;;;;12041984;30112000;V;1065;1;1984;;;;;;;119;550596;;200003634;;
L322;;627564;F;4;1;;C06;1;52;58;145600;75,2;12633,6;;;;;;T;;;;;;;;;;;;9052000;5072000;D;1671;2;2000;;;;;;;1000610;534319;;;;
L322;;627565;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;1082007;1082007;V;12035;1;2007;;;;;;;C;935087;;;;
L322;;627566;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;1082007;1082007;V;12036;1;2007;;;;;;;C;935088;;;;
L322;;627567;F;2;1;;C06;1;33;37;92400;47,72;8016,96;;;;;;S1;;;;;;;;;;;;1011985;19051994;V;3015;A01;1985;;;;;;;1000141;142913;;0;;
L322;;627568;F;2;1;;A07;2;8,5;213;1742500;899,93;151188,24;;;;;;S1;T;1;;;;;;;;;;1011985;19051994;V;3015;A01;1985;;;;;;;1000141;142913;;0;;
L322;;627569;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;24072012;31072012;V;5252;1;2012;;;;;;;C;1156420;;;;
L322;;627570;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;24072012;31072012;V;5252;1;2012;;;;;;;C;1156420;;;;
L322;;627571;F;1;1;;C02;1;12;14;33600;17,35;2914,8;;;;;;T;;;;;;;;;;;;27051986;18121992;A;1314;2;1986;;;;;;;1000015;20287;;0;;
L322;;627572;F;2;1;;C06;1;42;47;117600;60,74;10204,32;;;;;;T;;;;;;;;;;;;3061985;30112000;V;1196;1;1985;;;;;;;129;550606;;200003635;;
L322;;627573;F;2;1;;A07;2;7;;1435000;741,12;124508,16;;;;;;T;1;2;;;;;;;;;;3061985;30112000;V;1195;1;1985;;;;;;;129;550607;;200003635;;
L322;;627574;F;2;1;;C06;1;24;27;67200;34,71;5831,28;;;;;;S1;;;;;;;;;;;;1011985;19051994;V;2996;A01;1985;;;;;;;1000161;142912;;0;;
L322;;627575;F;2;1;;C06;1;45;50;126000;65,07;10931,76;;;;;;S1;;;;;;;;;;;;1011985;19051994;V;2996;A01;1985;;;;;;;1000161;142912;;0;;
L322;;627576;F;2;1;;A02;4;6;136;750000;387,34;65073,12;;;;;;T;1;;;;;;;;;;;1011985;19051994;V;2996;A01;1985;;;;;;;1000161;142912;;0;;
L322;;627577;F;2;1;;A02;3;7;140;735000;379,6;63772,8;;;;;;S1;1;;;;;;;;;;;1011985;19051994;V;2832;A01;1985;;;;;;;131;142911;;0;;
L322;;627578;F;2;1;;A02;3;6,5;141;682500;352,48;59216,64;;;;;;S1;2;;;;;;;;;;;1011985;19051994;V;2832;A01;1985;;;;;;;130;142911;;0;;
L322;;627579;F;3;1;;C06;1;43;48;120400;62,18;10446,24;;;;;;S1;;;;;;;;;;;;10021986;28021995;D;1708;1;1986;;;;;;;0;219379;;0;;
L322;;627580;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;5072007;5072007;V;11561;1;2007;;;;;;;C;932010;;;;
L322;;627581;F;2;1;;C02;1;127;153;355600;183,65;30853,2;;;;;;T;1;;;;;;;;;;;1011986;19051994;V;249;A01;1986;;;;;;;1000143;142917;;0;;
L322;;627582;F;3;1;;C02;1;22;30;61600;31,81;5344,08;;;;;;T;1;;;;;;;;;;;11032015;20042015;V;1397;1;2015;;;;;;;;1272951;;201500505;;
L322;;627583;F;2;1;;A11;1;2;82;86000;44,42;7462,56;;;;;;T;1;;;;;;;;;;;25101993;9012001;V;3074;1;1993;;;;;;;1000068;553675;;200103066;;
L322;;627584;F;3;1;;A02;2;5,5;98;495000;255,65;42949,2;;;;;;T;;;;;;;;;;;;19101999;23111999;D;2976;2;1999;;;;;;;1000565;506215;;0;;
L322;;627585;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15121995;15121995;V;3475;1;1995;;;;;;;C;298476;;;;
L322;;627586;F;1;1;;C06;1;21;23;58800;30,37;5102,16;;;;;;T;;;;;;;;;;;;15121995;15121995;V;3475;1;1995;;;;;;;267;298476;;0;;
L322;;627587;F;1;1;;A02;3;4,5;108;472500;244,03;40997,04;;;;;;T;1;;;;;;;;;;;15121995;15121995;V;3475;1;1995;;;;;;;267;298476;;0;;
L322;;627588;F;3;1;;C06;1;20;22;56000;28,92;4858,56;;;;;;T;;;;;;;;;;;;19101999;23111999;D;2976;2;1999;;;;;;;1000565;506215;;0;;
L322;;627589;F;3;1;;C02;1;9;11;25200;13,01;2185,68;;;;;;1;;;;;;;;;;;;19101999;23111999;D;2976;1;1999;;;;;;;267;506213;;0;;
L322;;627590;F;3;1;;C02;1;10;12;28000;14,46;2429,28;;;;;;1;;;;;;;;;;;;19101999;23111999;D;2976;2;1999;;;;;;;1000565;506215;;0;;
L322;;627591;F;8;1;;C07;1;38;38;41800;21,59;3627,12;;;;;;T;;;;;;;;;;;;5011995;22031996;D;3482;2;1995;;;;;;;1000358;317280;;0;;
L322;;627592;F;2;1;;A11;1;26,5;545;1139500;588,5;98868;;;U;;;S1;T;1;2;;;;;;;;;1011988;19051994;V;1128;A01;1988;;;;;;;256;143002;;0;;
L322;;627593;F;2;1;;A04;1;1,5;41;97500;50,35;8458,8;;;;;;T;;;;;;;;;;;;1011986;19051994;V;1111;A01;1986;;;;;;;1000145;142922;;0;;
L322;;627594;F;2;1;;A03;3;6;157;504000;260,29;43728,72;;;;;;T;1;2;;;;;;;;;;1011992;19051994;V;2424;A01;1992;;;;;;;438;143100;;0;;
L322;;627595;F;2;1;;C06;1;37;41;103600;53,5;8988;;;;;;;;;;;;;;;;;;1011992;19051994;V;2424;A01;1992;;;;;;;438;143100;;0;;
L322;;627596;F;2;1;;C06;1;18;20;50400;26,03;4373,04;;;;;;T;;;;;;;;;;;;25031986;5071994;V;1010;A01;1986;;;;;;;1000132;159128;;0;;
L322;;627597;F;2;1;;A04;1;2,5;29;162500;83,92;14098,56;;;;;;T;;;;;;;;;;;;1011986;19051994;V;1011;A01;1986;;;;;;;1000132;142921;;0;;
L322;;627598;F;4;1;;C06;1;24;27;67200;34,71;5831,28;;;;;;T;;;;;;;;;;;;29051987;2082016;V;3295;1;2016;;;;;;;;1327902;;0;;
L322;;627599;F;4;1;;C06;1;18;20;50400;26,03;4373,04;;;;;;T;;;;;;;;;;;;29051987;2082016;V;3295;1;2016;;;;;;;;1327902;;0;;
L322;;627600;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16062016;22062016;V;2617;1;2016;;;;;;;C;1322529;;;;
L322;;627601;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16062016;22062016;V;2617;1;2016;;;;;;;C;1322529;;;;
L322;;627602;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16062016;22062016;V;2617;1;2016;;;;;;;C;1322529;;;;
L322;;627603;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;16062016;22062016;V;2617;1;2016;;;;;;;C;1322529;;;;
L322;;627604;F;2;1;;C06;1;32;36;89600;46,27;7773,36;;;;;;T;;;;;;;;;;;;1011986;19051994;V;1286;A01;1986;;;;;;;1000147;142924;;0;;
L322;;627605;F;2;1;;C03;1;129;143;541800;279,82;41133,54;;;;;;T;;;;;;;;;;;;1011986;19051994;V;1286;A01;1986;;;;;;;1000147;142924;;0;;
L322;;627606;F;2;1;;A02;3;7,5;256;787500;406,71;68327,28;;;;;;1;2;;;;;;;;;;;1011986;19051994;V;1286;A01;1986;;;;;;;1000147;142924;;0;;
L322;;627607;F;3;1;;C02;1;19;23;53200;27,48;4616,64;;;;;;T;;;;;;;;;;;;3012008;3012008;V;17;1;2008;;;;;;;;952137;;200800035;;
L322;;627608;F;1;1;;C06;2;30;33;99000;51,13;8589,84;;;;;;T;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;349;201;;0;;
L322;;627609;F;1;1;;A02;4;7;147;875000;451,9;75919,2;;;;;;T;1;3;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;347;201;;0;;
L322;;627610;F;1;1;;A02;3;8;147;840000;433,82;72881,76;;;;;;T;2;3;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;348;201;;0;;
L322;;627611;F;3;1;;C06;1;43;48;120400;62,18;10446,24;;;;;;T;;;;;;;;;;;;13051993;15121994;D;1802;1;1993;;;;;;;1000195;197158;;0;;
L322;;627612;F;2;1;;C06;1;20;22;56000;28,92;4858,56;;;;;;T;;;;;;;;;;;;1011986;19051994;V;1501;A01;1986;;;;;;;136;142926;;0;;
L322;;627613;F;3;1;;C02;1;4;5;11200;5,78;971,04;;;;;;T;1;;;;;;;;;;;8091987;20011993;D;4460;1;1987;;;;;;;1000021;23112;;0;;
L322;;627614;F;2;1;;C02;1;4;5;11200;5,78;971,04;;;;;;T;;;;;;;;;;;;1071986;20011993;V;1618;1;1986;;;;;;;139;23093;;0;;
L322;;627615;F;3;1;;A11;1;2;30;86000;44,42;7462,56;;;;;;T;;;;;;;;;;;;4121995;9121999;D;3111;1;1999;;;;;;;1000569;508316;;0;;
L322;;627616;F;2;1;;C06;1;18;20;50400;26,03;4373,04;;;;;;T;;;;;;;;;;;;1011991;19051994;V;4177;A01;1991;;;;;;;403;143071;;0;;
L322;;627617;F;2;1;;C02;1;9;11;25200;13,01;2185,68;;;;;;S1;;;;;;;;;;;;1011991;19051994;V;4177;A01;1991;;;;;;;403;143071;;0;;
L322;;627618;F;2;1;;C06;2;14;16;46200;23,86;4008,48;;;;;;T;;;;;;;;;;;;1011986;19051994;V;2200;A01;1986;;;;;;;123;142930;;0;;
L322;;627619;F;2;1;;C06;2;10;11;33000;17,04;2862,72;;;;;;T;;;;;;;;;;;;1011986;19051994;V;2200;A01;1986;;;;;;;123;142930;;0;;
L322;;627620;F;2;1;;C06;2;13;14;42900;22,16;3722,88;;;;;;T;;;;;;;;;;;;1011986;19051994;V;2200;A01;1986;;;;;;;123;142930;;0;;
L322;;627621;F;4;1;;C06;1;102;113;285600;147,5;24780;;;;;;T;;;;;;;;;;;;25071995;26071995;V;2114;1;1995;27012017;17022017;V;202;1;2017;246;254320;1344759;0;;
L322;;627622;F;2;1;;A07;2;1;22;205000;105,87;17786,16;;;;;;1;;;;;;;;;;;;4021988;26071995;V;500;1;1988;27012017;17022017;V;202;1;2017;245;254289;1344759;0;;
L322;;627623;F;2;1;;A07;2;7,5;185;1537500;794,05;133400,4;;;;;;S1;T;1;2;;;;;;;;;1011988;19051994;V;499;A01;1988;27012017;17022017;V;202;1;2017;246;142991;1344759;0;;
L322;;627624;F;2;1;;C02;1;14;17;39200;20,25;3402;;;;;;T;;;;;;;;;;;;1011986;19051994;V;2518;A01;1986;;;;;;;110;142932;;0;;
L322;;627625;F;2;1;;C02;1;52;63;145600;75,2;12633,6;;;;;;T;;;;;;;;;;;;1011986;19051994;V;2517;A01;1986;;;;;;;110;142931;;0;;
L322;;627626;F;2;1;;C07;1;118;118;129800;67,04;11262,72;;;;;;T;;;;;;;;;;;;1011987;19051994;V;533;A01;1987;;;;;;;51;142947;;0;;
L322;;627627;F;2;1;;C07;1;13;13;14300;7,39;1241,52;;;;;;T;;;;;;;;;;;;1011986;19051994;V;3099;A01;1986;;;;;;;155;142937;;0;;
