CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;Rendita-lire;Rendita-euro;ValoreImis;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;Piano5;Piano6;Piano7;Piano8;Piano9;Piano10;Piano11;Piano12;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione_ita;Annotazione_ted;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica
L322;;626743;F;2;1;;A04;1;7,5;166;487500;251,77;42297,36;;;U;;;S1;T;1;2;;;;;;;;;1011991;19051994;V;1223;A01;1991;;;;;;;368;143061;;0;;
L322;;626744;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19112014;15122014;V;4987;1;2014;;;;;;;C;1257924;;;;
L322;;626745;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19112014;15122014;V;4987;1;2014;;;;;;;C;1257924;;;;
L322;;626746;F;2;1;;C06;1;114;127;319200;164,85;27694,8;;;;;;T;1;;;;;;;;;;;31121993;27102000;V;4031;1;1993;;;;;;;1000111;547141;;200003380;;
L322;;626747;F;2;1;;A04;1;3;57;195000;100,71;16919,28;;;;;;T;1;2;;;;;;;;;;28081997;20101997;D;2577;1;1997;;;;;;;1000470;404006;;0;;
L322;;626748;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15021995;15021995;V;411;1;1995;;;;;;;C;215014;;;;
L322;;626749;F;2;1;;A03;1;7,5;146;457500;236,28;39695,04;;;;;;T;1;2;3;4;;;;;;;;30031999;13121999;D;3118;1;1999;;;;;;;1000570;508454;;0;;
L322;;626750;F;2;1;;A03;2;7;152;504000;260,29;43728,72;;;;;;2;;;;;;;;;;;;1011987;19051994;V;4119;A01;1987;;;;;;;234;142981;;0;;
L322;;626751;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15021995;15021995;V;411;1;1995;;;;;;;C;215014;;;;
L322;;626752;F;3;1;;A03;2;6;137;432000;223,11;37482,48;;;;;;T;1;;;;;;;;;;;28072003;28072003;V;2600;1;2003;;;;;;;;647241;;0;;
L322;;626753;F;2;1;;A03;1;5,5;174;335500;173,27;29109,36;;;;;;3;4;;;;;;;;;;;15021995;30051996;V;411;3;1995;;;;;;;235;329593;;0;;
L322;;626754;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;14021995;14021995;V;406;2;1995;;;;;;;C;213961;;;;
L322;;626755;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;14021995;14021995;V;406;2;1995;;;;;;;C;213961;;;;
L322;;626756;F;3;1;;A04;1;4;81;260000;134,28;22559,04;;;;;;S1;T;1;;;;;;;;;;14021995;23071996;V;406;3;1995;;;;;;;1000280;336741;;0;;
L322;;626757;F;4;1;;A03;3;6;133;504000;260,29;43728,72;;;;;;1;2;3;;;;;;;;;;19051999;19051999;V;1264;1;1999;;;;;;;1000281;482120;;0;;
L322;;626758;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;1102008;2102008;V;3534;1;2008;;;;;;;C;982979;;;;
L322;;626759;F;2;1;;A03;1;7;156;427000;220,53;37049,04;;;;;;T;1;2;3;;;;;;;;;1011989;19051994;V;4440;A01;1989;;;;;;;325;143034;;0;;
L322;;626760;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;1072003;1072003;V;2350;1;2003;;;;;;;C;644619;;;;
L322;;626761;F;3;1;;C02;1;37;43;103600;53,5;8988;;;;;;T;;;;;;;;;;;;1072003;1072003;V;2350;1;2003;;;;;;;;644619;;200300613;;
L322;;626762;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;18121996;18121996;V;3070;1;1996;;;;;;;C;358892;;;;
L322;;626763;F;2;1;;A04;1;4,5;81;292500;151,06;25378,08;;;;;;S1;T;1;2;;;;;;;;;20051997;30071997;D;1998;1;1997;;;;;;;1000463;392477;;0;;
L322;;626764;F;2;1;;A04;1;5;105;325000;167,85;28198,8;;;;;;S1;T;1;2;;;;;;;;;20051997;30071997;D;2001;1;1997;;;;;;;1000464;392484;;0;;
L322;;626765;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19112014;1122014;V;4743;1;2014;;;;;;;C;1256323;;;;
L322;;626766;F;3;1;;A03;3;4,5;116;378000;195,22;32796,96;;;U;;;T;1;2;;;;;;;;;;13051993;15121994;D;1802;1;1993;;;;;;;1000195;197158;;0;;
L322;;626767;F;4;1;;A03;3;5;86;420000;216,91;36440,88;;;;;;T;2;;;;;;;;;;;20072005;20072005;V;2464;1;2005;;;;;;;;724345;;200500656;;
L322;;626768;F;2;1;;A04;4;5;84;375000;193,67;32536,56;;;;;;1;;;;;;;;;;;;1011988;19051994;V;3120;A01;1988;;;;;;;277;143008;;0;;
L322;;626769;F;2;1;;A04;1;0,5;25;32500;16,78;2819,04;;;;;;T;;;;;;;;;;;;20051997;30071997;D;1998;1;1997;;;;;;;1000463;392477;;0;;
L322;;626770;F;3;1;;C02;1;19;23;53200;27,48;4616,64;;;;;;T;1;;;;;;;;;;;28041994;21031995;D;1602;2;1994;;;;;;;1000256;225249;;0;;
L322;;626771;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;1102008;2102008;V;3536;1;2008;;;;;;;C;982983;;;;
L322;;626772;F;4;1;;A02;4;9;218;1125000;581,01;97609,68;;;U;;;T;1;2;3;;;;;;;;;6102011;12102011;V;3969;1;2011;;;;;;;;1104080;;201101546;;
L322;;626773;F;2;1;;C06;1;20;22;56000;28,92;4858,56;;;;;;T;;;;;;;;;;;;1011987;19051994;V;2275;A01;1987;;;;;;;200;142970;;0;;
L322;;626774;F;2;1;;A04;1;4,5;143;292500;151,06;25378,08;;;U;;;T;1;2;;;;;;;;;;27082002;27082002;V;2403;1;2002;;;;;;;;612068;;200202387;;
L322;;626775;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;21021995;21021995;V;496;1;1995;;;;;;;C;216955;;;;
L322;;626776;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;21021995;21021995;V;496;1;1995;;;;;;;C;216955;;;;
L322;;626777;F;4;1;;A02;2;4,5;127;405000;209,17;35140,56;;;;;;T;1;;;;;;;;;;;20052004;20052004;V;2071;1;2004;;;;;;;;677831;;200400539;;
L322;;626778;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;20052004;20052004;V;2073;1;2004;;;;;;;C;677843;;;;
L322;;626779;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;20062012;27062012;V;4688;1;2012;;;;;;;C;1151895;;;;
L322;;626780;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;9051995;9051995;V;1271;1;1995;;;;;;;C;236657;;;;
L322;;626781;F;2;1;;A03;3;5;101;420000;216,91;36440,88;;;;;;S1;T;1;;;;;;;;;;24051995;24051995;V;1272;1;1995;;;;;;;1000268;240365;;0;;
L322;;626782;F;3;1;;C02;1;13;16;36400;18,8;3158,4;;;;;;T;;;;;;;;;;;;23121991;15051996;V;3947;1;1991;;;;;;;1000171;326704;;0;;
L322;;626783;F;3;1;;A04;1;1,5;;97500;50,35;8458,8;;;;;;T;1;2;;;;;;;;;;23121991;15051996;V;3947;1;1991;;;;;;;1000172;326704;;0;;
L322;;626784;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15022012;20022012;V;767;1;2012;;;;;;;C;1120439;;;;
L322;;626785;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15022012;20022012;V;767;1;2012;;;;;;;C;1120439;;;;
L322;;626786;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;15022012;20022012;V;767;1;2012;;;;;;;C;1120439;;;;
L322;;626787;F;6;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;20062012;27062012;V;4689;1;2012;;;;;;;C;1151897;;;;
L322;;626788;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19071994;20071994;V;1811;1;1994;;;;;;;C;162861;;;;
L322;;626789;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19071994;20071994;V;1811;1;1994;;;;;;;C;162861;;;;
L322;;626790;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19071994;20071994;V;1811;1;1994;;;;;;;C;162861;;;;
L322;;626791;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19071994;20071994;V;1811;1;1994;;;;;;;C;162861;;;;
