CODICE AMMINISTRATIVO;SEZIONE;IDENTIFICATIVO SOGGETTO;TIPO SOGGETTO;IDENTIFICATIVO IMMOBILE;TIPO IMMOBILE;COMUNE CATASTALE;TIPO PARTICELLA;IDENTIFICATIVO PARTICELLA;PORZIONE MATERIALE;LINGUA;TESTO NON CODIFICATO;CODICE DIRITTO;TITOLO NON CODIFICATO ITA;TITOLO NON CODIFICATO TED;QUOTA NUMERATORE;QUOTA DENOMINATORE;REGIME;SOGGETTO DI RIFERIMENTO;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;PARTITA;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;IDENTIFICATIVO MUTAZIONE INIZIALE;IDENTIFICATIVO MUTAZIONE FINALE;IDENTIFICATIVO TITOLARITA
L322;;10000000;P;739271;F;404;1;200/5;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462140
L322;;10000000;P;739272;F;404;1;200/5;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462141
L322;;10000000;P;739273;F;404;1;200/5;3;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462142
L322;;10000000;P;739274;F;404;1;200/5;4;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462143
L322;;10000000;P;855241;F;404;1;203; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462146
L322;;10000000;P;855243;F;404;1;205; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462147
L322;;10000000;P;855244;F;404;1;206; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462148
L322;;10000000;P;950282;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462194
L322;;10000000;P;950283;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462195
L322;;10000000;P;950284;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462196
L322;;10000000;P;950285;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462197
L322;;10000000;P;950286;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462198
L322;;10000000;P;950287;F;404;1;1033; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462199
L322;;10000000;P;855245;F;404;1;207; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462149
L322;;10000000;P;855246;F;404;1;208; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462150
L322;;10000000;P;855253;F;404;1;226; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462151
L322;;10000000;P;855260;F;404;1;236; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462152
L322;;10000000;P;969491;F;404;1;240/3;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462153
L322;;10000000;P;969491;F;404;1;240/3;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462154
L322;;10000000;P;969491;F;404;1;240/3;3;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462155
L322;;10000000;P;855273;F;404;1;246/1; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462156
L322;;10019342;P;672869;F;404;1;946;6;;;1;;;0;0; ;;2052002;G;1843;0;2002;4072002;;;;;;;;13043603;;11461584
L322;;10019342;P;672870;F;404;1;946;6;;;1;;;0;0; ;;2052002;G;1843;0;2002;4072002;;;;;;;;13043603;;11461601
L322;;10052062;P;627385;F;404;1;597; ;;;2;;;1;2;C;10165944;10041969;G;710;0;1969;12042007;;;;;;;;12199062;;11460321
L322;;10052062;P;627384;F;404;1;597; ;;;2;;;1;2;C;10165944;10041969;G;710;0;1969;12042007;;;;;;;;12199062;;11460319
L322;;10055041;P;627070;F;404;1;390; ;;;2;;;1;2; ;;3091996;G;3388;0;1996;7032007;;;;;;;;12179867;;11459382
