CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;RenditaLire;RenditaEuro;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;DataDiEdifica;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121580;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;T;;;;31051991;27071992;V;3451;;1991;;;;;;;2298;;1264368;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121581;F;1;1; ;C06;1;16;;27200;14,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121582;F;1;1; ;A03;1;6;;318000;164,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121583;F;1;1; ;C02;3;177;;424800;219,39;;;;;;T;;;;2121994;29081996;D;17237;1;1994;;;;;;;1001141;;1485516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121584;F;1;1; ;A03;1;6;;318000;164,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121585;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121586;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;T;;;;2121994;22011998;R;30184;1;1994;;;;;;;1001330;;1554184;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121587;F;1;1; ;C06;3;54;;129600;66,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121589;F;1;1; ;A03;1;6;;318000;164,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121590;F;1;1; ;C06;4;12;;34800;17,97;;;;;;T;;;;23081995;20121995;D;12743;1;1995;;;;;;;1001045;;1456715;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121591;F;2;1; ;A07;2;6,5;;715000;369,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121592;F;1;1; ;C06;3;55;;132000;68,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121593;F;2;1; ;C06;3;80;;192000;99,16;;;;;;T;;;;26041993;22011998;R;11430;2;1993;;;;;;;1001006;;1553904;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121595;F;3;1; ;A03;3;8;;584000;301,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121600;F;3;1; ;A04;3;3;;219000;113,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121601;F;2;1; ;C06;1;110;;187000;96,58;;;;;;T;;;;26041993;22011998;R;11430;2;1993;;;;;;;1001006;;1553904;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121602;F;2;1; ;A03;3;8;;584000;301,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121606;F;1;1; ;A03;2;6;;372000;192,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121607;F;2;1; ;A04;2;3,5;;217000;112,07;;;;;;T;;;;26041993;22011998;R;11430;2;1993;;;;;;;1001006;;1553904;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121610;F;2;1; ;A04;3;5;;365000;188,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121611;F;2;1; ;C06;4;46;;133400;68,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121613;F;1;1; ;A04;3;4;;292000;150,81;;;;;;T;;;;7061990;6051993;V;3955;;1990;;;;;;;2210;;1340256;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121618;F;1;1; ;A04;2;3;;186000;96,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121621;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121625;F;3;1; ;C06;3;56;;134400;69,41;;;;;;T;;;;27121993;25011994;A;15175;2;1993;;;;;;;2471;;1370165;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121627;F;1;1; ;A04;2;4,5;;279000;144,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
