CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;RenditaLire;RenditaEuro;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;DataDiEdifica;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125357;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1742;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125358;F;1;1; ;A03;3;8,5;;620500;320,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125359;F;2;1; ;F03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125363;F;2;1; ;A04;2;5;;310000;160,1;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;79;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125364;F;2;1; ;A04;2;4,5;;279000;144,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125365;F;2;1; ;C06;2;51;;102000;52,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125367;F;1;1; ;A03;3;8;;584000;301,61;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1338;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125368;F;3;1; ;C06;3;34;;81600;42,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125369;F;3;1; ;A03;2;5,5;;341000;176,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125372;F;1;1; ;C02;3;47;;112800;58,26;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1338;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125373;F;1;1; ;C02;3;42;;100800;52,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125374;F;3;1; ;A04;3;6;;438000;226,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125377;F;1;1; ;A03;1;5;;265000;136,86;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1134;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125378;F;2;1; ;A03;2;7;;434000;224,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125380;F;2;1; ;A03;2;6;;372000;192,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125382;F;1;1; ;A04;2;4;;248000;128,08;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;67;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125383;F;1;1; ;A04;2;2,5;;155000;80,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125384;F;3;1; ;A03;2;6,5;;403000;208,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125385;F;2;1; ;A07;1;6;;564000;291,28;;;;;;S1;;;;1010001;30061987;I;;0;;;;;;;;67;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125386;F;1;1; ;C02;2;140;;280000;144,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125387;F;1;1; ;A02;U;6,5;;637000;328,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125388;F;2;1; ;A03;3;5;;365000;188,51;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;108;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125389;F;5;1; ;A02;2;7;186;805000;415,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125390;F;3;1; ;C06;2;115;;230000;118,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125393;F;2;1; ;C06;3;49;;117600;60,74;;;;;;;;;;1010001;30061987;I;;0;;;;;;;;644;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125394;F;2;1; ;A04;3;3;;219000;113,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125395;F;2;1; ;A04;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125396;F;2;1; ;C01;3;15;;393000;202,97;;;;;;T;;;;6041993;7021997;V;4330;2;1993;;;;;;;692;;1512366;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125397;F;2;1; ;C01;3;36;;943200;487,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125398;F;2;1; ;C06;3;16;;38400;19,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125400;F;2;1; ;A03;3;4,5;;328500;169,66;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;689;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125401;F;1;1; ;C02;2;28;;56000;28,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125402;F;2;1; ;A03;4;7;;602000;310,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125403;F;2;1; ;F03;;;;;;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;698;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125406;F;1;1; ;A03;1;5,5;;291500;150,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125407;F;2;1; ;A04;3;6;;438000;226,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125408;F;2;1; ;C02;3;26;;62400;32,23;;;;;;T;;;;26071994;9011997;V;4924;1;1994;;;;;;;1001170;PASSAGGI INTERMEDI DA ESAMINARE;1509332;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125409;F;2;1; ;F05;;;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125411;F;2;1; ;A03;2;6;;372000;192,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125412;F;2;1; ;C06;4;24;;69600;35,95;;;;;;1;;;;3091998;7091998;V;14312;1;1998;;;;;;;236;;1584257;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125413;F;1;1; ;F05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125414;F;2;1; ;F05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125415;F;1;1; ;C02;1;5;;8500;4,39;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;698;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125416;F;1;1; ;A04;2;2,5;;155000;80,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125417;F;1;1; ;A03;1;5;;265000;136,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125418;F;1;1; ;A04;3;5,5;;401500;207,36;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;378;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125420;F;1;1; ;A03;1;5;;265000;136,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125421;F;1;1; ;A03;1;6;;318000;164,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125422;F;1;1; ;A03;1;7;;371000;191,61;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;491;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125423;F;1;1; ;C03;1;80;;176000;90,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125424;F;1;1; ;A03;2;5,5;;341000;176,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125425;F;1;1; ;A10;U;11;;3960000;2045,17;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1565;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125426;F;1;1; ;A02;3;13;;1755000;906,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125427;F;1;1; ;C06;2;89;;178000;91,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125428;F;2;1; ;A07;2;7,5;;825000;426,08;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;689;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125429;F;2;1; ;C02;1;68;;115600;59,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125431;F;3;1; ;A07;2;10;;1100000;568,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125432;F;2;1; ;C06;2;42;;84000;43,38;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;692;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125434;F;1;1; ;A04;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125437;F;3;1; ;A03;2;7,5;;465000;240,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125439;F;3;1; ;A04;3;5,5;;401500;207,36;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;933;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125440;F;3;1; ;C06;4;28;;81200;41,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125441;F;3;1; ;C06;4;19;;55100;28,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125446;F;1;1; ;A03;2;7,5;;465000;240,15;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;650;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125447;F;2;1; ;A07;2;4,5;;495000;255,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125448;F;2;1; ;C06;2;70;;140000;72,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125450;F;2;1; ;A03;3;5,5;;401500;207,36;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;281;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125451;F;2;1; ;A03;3;6,5;;474500;245,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125452;F;2;1; ;C06;2;41;;82000;42,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125457;F;2;1; ;A03;2;8;;496000;256,16;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;890;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125459;F;1;1; ;C03;2;18;;46800;24,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125460;F;1;1; ;A03;1;5;;265000;136,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125461;F;3;1; ;A03;2;8;;496000;256,16;;;;;;;;;;21051998;5021999;D;1304;1;1999;;;;;;;1001430;;1617534;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125462;F;2;1; ;A07;2;5,5;;605000;312,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125463;F;2;1; ;C06;3;13;;31200;16,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125470;F;1;1; ;C01;2;20;;450000;232,41;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;230;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125471;F;1;1; ;C06;4;12;;34800;17,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125472;F;2;1; ;A03;3;7;;511000;263,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125473;F;2;1; ;A04;3;7;;511000;263,91;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1676;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125480;F;2;1; ;A03;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125481;F;2;1; ;A04;3;7;;511000;263,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125482;F;2;1; ;A04;3;7;;511000;263,91;;;;;;T;;;;3031993;22061993;R;11938;2;1993;;;;;;;1001302;;1346107;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125483;F;2;1; ;A03;3;6,5;;474500;245,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125484;F;2;1; ;C06;2;88;;176000;90,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125485;F;2;1; ;C01;2;72;;1620000;836,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125486;F;2;1; ;C06;3;22;;52800;27,27;;;;;;T;;;;3031993;22061993;R;11938;1;1993;;;;;;;1001302;;1345815;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125487;F;2;1; ;A07;2;9;;990000;511,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125488;F;3;1; ;C06;3;37;;88800;45,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125489;F;3;1; ;A03;2;5,5;;341000;176,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125490;F;2;1; ;A07;2;7;;770000;397,67;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1565;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125491;F;2;1; ;A03;3;8,5;;620500;320,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125492;F;2;1; ;C06;3;40;;96000;49,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125494;F;2;1; ;A02;1;10;;980000;506,13;;;;;;;;;;22111996;18121996;D;16090;1;1996;;;;;;;2383;;1508547;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125495;F;2;1; ;C06;4;20;;58000;29,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125498;F;1;1; ;C06;4;20;;58000;29,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125500;F;1;1; ;A03;2;7;;434000;224,14;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1337;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125502;F;2;1; ;A03;4;7,5;;645000;333,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125503;F;2;1; ;C06;1;117;;198900;102,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125504;F;2;1; ;A03;3;6,5;;474500;245,06;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1337;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125508;F;1;1; ;A03;4;8;;688000;355,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125509;F;1;1; ;C06;3;106;;254400;131,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125510;F;2;1; ;A07;2;5,5;;605000;312,46;;;;;;T;;;;30101992;11091998;V;6582;2;1992;;;;;;;312;;1585042;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125511;F;2;1; ;A03;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125512;F;1;1; ;A02;1;12;;1176000;607,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125513;F;1;1; ;C06;3;25;;60000;30,99;;;;;;T;;;;30121992;11091998;V;10000;2;1992;;;;;;;302;;1585064;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125519;F;2;1; ;A02;1;2,5;;245000;126,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125520;F;2;1; ;C06;3;59;;141600;73,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125522;F;2;1; ;A02;1;5,5;;539000;278,37;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1337;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125523;F;2;1; ;C02;1;7;;11900;6,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125524;F;1;1; ;C02;3;66;;158400;81,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125526;F;2;1; ;A03;2;5,5;;341000;176,11;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;1332;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125527;F;2;1; ;C06;4;22;;63800;32,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125528;F;1;1; ;A04;3;5;;365000;188,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125529;F;1;1; ;C06;3;25;;60000;30,99;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1337;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125530;F;2;1; ;A07;2;5;;550000;284,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125531;F;2;1; ;C06;3;24;;57600;29,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125532;F;2;1; ;C02;1;18;;30600;15,8;;;;;;S1;;;;1010001;30061987;I;;0;;;;;;;;599;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125534;F;1;1; ;A02;U;8,5;;833000;430,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125535;F;1;1; ;C06;3;25;;60000;30,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125536;F;2;1; ;A02;2;10;;1150000;593,93;;;;;;1;;;;1010001;30061987;I;;0;;;;;;;;305;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125537;F;2;1; ;A03;3;8;;584000;301,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125538;F;2;1; ;A02;1;9;;882000;455,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125539;F;2;1; ;C06;2;75;;150000;77,47;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;305;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125541;F;1;1; ;C06;4;14;;40600;20,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125545;F;3;1; ;A02;1;8,5;;833000;430,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125547;F;2;1; ;C06;3;97;;232800;120,23;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;305;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125552;F;2;1; ;C01;2;177;;3982500;2056,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125553;F;2;1; ;A03;4;7;;602000;310,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125554;F;1;1; ;A03;2;6;;372000;192,12;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;259;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125555;F;2;1; ;A03;4;6;;516000;266,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125557;F;3;1; ;A04;3;6;;438000;226,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125558;F;3;1; ;A03;3;6;;438000;226,21;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;314;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125559;F;2;1; ;A03;3;6;;438000;226,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125560;F;2;1; ;C06;3;25;;60000;30,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125561;F;2;1; ;A02;1;7,5;;735000;379,6;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1565;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125562;F;3;1; ;A02;1;7,5;;735000;379,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125563;F;3;1; ;C03;2;36;;93600;48,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125564;F;2;1; ;C06;2;121;;242000;124,98;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;905;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125565;F;2;1; ;C02;2;53;;106000;54,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125567;F;2;1; ;A03;4;7,5;;645000;333,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125568;F;2;1; ;C06;3;55;;132000;68,17;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1472;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125569;F;1;1; ;A03;3;7,5;;547500;282,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125570;F;1;1; ;C06;4;13;;37700;19,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125573;F;2;1; ;A02;1;8,5;;833000;430,21;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;834;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125574;F;2;1; ;C06;3;38;;91200;47,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125575;F;2;1; ;A02;1;8;;784000;404,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125576;F;2;1; ;C06;3;24;;57600;29,75;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;236;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125577;F;2;1; ;A03;3;7;;511000;263,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125578;F;2;1; ;C02;2;124;;248000;128,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125579;F;2;1; ;A07;2;8;;880000;454,48;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;236;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125580;F;2;1; ;C06;4;27;;78300;40,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125581;F;2;1; ;A02;1;9;;882000;455,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125582;F;1;1; ;A02;U;7;;686000;354,29;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;236;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125583;F;2;1; ;A03;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;125584;F;2;1; ;A03;4;6,5;;559000;288,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
